Gene Symbol,Gene ID,Interaction Count,Organism Count
PLAUR,5329,4,1
POR,5447,4,2
PPP3CA,5530,4,1
PRDX3,10935,4,2
PRKCB,5579,4,3
PTGR1,22949,4,3
RASGRP3,25780,4,3
SFN,2810,4,1
SLC22A12,116085,4,2
SLC22A5,6584,4,3
SLC2A2,6514,4,1
SLC40A1,30061,4,2
SLC5A5,6528,4,2
SLCO1A2,6579,4,1
SQSTM,100195312,4,1
SULT2A1,6822,4,2
TCF4,6925,4,2
TH,7054,4,1
THBS1,7057,4,1
TIMP2,7077,4,2
TRIM63,84676,4,1
TRPM7,54822,4,2
UCP2,7351,4,2
UGT1A3,54659,4,1
UGT1A6,54578,4,2
ABCC5,10057,3,1
ABCG5,64240,3,2
ACLY,47,3,2
ACTB,60,3,2
AKR7A3,22977,3,1
AKT2,208,3,2
ALPI,248,3,2
ANGPT1,284,3,1
ANLN,54443,3,1
ANXA1,301,3,2
AQP3,360,3,1
BCL2L11,10018,3,1
BHMT,635,3,3
BNIP3,664,3,2
BRCA2,675,3,3
BUB1B,701,3,1
CCL3,6348,3,1
CD74,972,3,2
CDC6,990,3,1
CFTR,1080,3,2
CHEK1,1111,3,2
COX1,4512,3,1
CSN1S1,1446,3,1
CSNK2A1,1457,3,1
CTSB,1508,3,2
CX3CR1,1524,3,1
CXCR4,7852,3,2
CYP17A1,1586,3,1
CYP24A1,1591,3,1
CYP2B10,13088,3,1
CYP2D6,1565,3,1
CYP3A5,1577,3,1
CYP51A1,1595,3,2
DCT,1638,3,1
DEFA1,1667,3,1
DEFA2,100294660,3,1
DFFA,1676,3,2
DIABLO,56616,3,1
DSPP,1834,3,1
EDNRB,1910,3,3
EGLN1,54583,3,2
EIF2A,83939,3,1
EIF4EBP3,8637,3,1
ENDOG,2021,3,1
EPHX1,2052,3,2
ERP29,10961,3,2
FABP1,2168,3,2
FDFT1,2222,3,2
FMO5,2330,3,2
FOSL1,8061,3,2
FOXA1,3169,3,2
FTL1,14325,3,1
GADD45B,4616,3,1
GAPDH,2597,3,3
GATA1,2623,3,1
GDF15,9518,3,1
GLI2,2736,3,1
GLRA1,2741,3,2
GSTA2,2939,3,2
GSTA3,2940,3,1
GSTM1,2944,3,2
GSTP2,14869,3,2
HAT1,8520,3,1
HMGCS1,3157,3,1
HRAS,3265,3,1
HRH1,3269,3,2
HSPA8,3312,3,2
HSPD1,3329,3,1
IDI1,3422,3,2
IL2,3558,3,2
KRT8,3856,3,2
LCAT,3931,3,2
LEF1,51176,3,2
LEPR,3953,3,2
LMNA,4000,3,1
LMNB1,4001,3,1
MAP3K5,4217,3,1
MCP1,443546,3,2
MIR148A,406940,3,1
MITF,4286,3,2
MMP7,4316,3,1
MSH2,4436,3,2
MTTP,4547,3,1
NANOG,79923,3,1
NCAPG,64151,3,2
NES,10763,3,2
NKX3-1,4824,3,1
NOS1,4842,3,2
NPPB,4879,3,1
NQO2,4835,3,1
NR0B2,8431,3,2
NR5A1,2516,3,1
NRAS,4893,3,1
NRF1,4899,3,1
NTRK1,4914,3,1
ODC1,4953,3,2
PDPK1,5170,3,2
PECAM1,5175,3,2
PGK1,5230,3,1
PHKA2,5256,3,2
PLD1,5337,3,1
PON2,5445,3,1
PPARGC1B,133522,3,2
PRDX1,5052,3,2
PTBP2,58155,3,2
PTCH1,5727,3,1
RELB,5971,3,1
ROCK1,6093,3,1
SDHC,6391,3,1
SHBG,6462,3,2
SLCO1B1,10599,3,1
SORBS1,10580,3,2
SQLE,6713,3,2
SYK,6850,3,2
TAB3,257397,3,1
TAGLN,6876,3,2
TERT,7015,3,1
TFAM,7019,3,2
TNFRSF10D,8793,3,1
TOP2B,7155,3,2
TP63,8626,3,1
TSFM,10102,3,1
TSPAN3,10099,3,2
TUBB,203068,3,1
TYMS,7298,3,2
TYRP1,7306,3,1
UCP1,7350,3,2
UGT1A7,54577,3,2
UGT1A9,54600,3,1
VHL,7428,3,1
XPC,7508,3,2
YWHAG,7532,3,1
ABCB11,8647,2,2
ABCC2,1244,2,2
ABCD2,225,2,1
ACADM,34,2,2
ACAT2,39,2,1
ACBD6,84320,2,1
ACOX2,8309,2,2
ADGRE1,2015,2,1
ADGRG1,9289,2,1
AGTR1A,11607,2,2
AGXT,189,2,2
AIF1,199,2,1
AK4,205,2,2
AKR1B10,57016,2,1
AKR1B8,14187,2,1
AKR1C3,8644,2,1
ALDH1B1,219,2,2
ALDH2,217,2,2
ALDH4A1,8659,2,2
ALDOA,226,2,2
ALOX12,239,2,1
ANKH,56172,2,2
ANXA2,302,2,2
AOC3,8639,2,1
AP5M1,55745,2,1
APC,324,2,1
APOF,319,2,2
APOM,55937,2,1
AQP9,366,2,1
ARG1,383,2,2
ARHGAP29,9411,2,1
ATF1,466,2,1
ATF3,467,2,1
ATG12,9140,2,2
ATG5,9474,2,2
ATG7,10533,2,1
ATL2,64225,2,1
ATP1A1,476,2,2
ATP1B1,481,2,2
ATP6V1C1,528,2,1
ATP7B,540,2,2
ATXN3,4287,2,2
AUH,549,2,2
BCHE,590,2,2
BDH2,56898,2,2
BHLHE40,8553,2,2
BLM,641,2,2
BPTF,2186,2,1
BRCA1,672,2,1
BUB3,9184,2,1
C2CD5,9847,2,1
CABLES1,91768,2,1
CADM1,23705,2,2
CADPS2,93664,2,1
CALCR,799,2,1
CAPN1,823,2,2
CAPN2,824,2,2
CASP4,837,2,1
CCDC138,165055,2,1
CCDC88A,55704,2,1
CCL8,6355,2,1
CCNA1,8900,2,1
CCNB2,9133,2,1
CCND3,896,2,1
CCNE2,9134,2,1
CD302,9936,2,1
CD40LG,959,2,1
CD63,967,2,1
CD68,968,2,1
CD69,969,2,1
CD80,941,2,1
CD86,942,2,1
CDC20,991,2,1
CDC45,8318,2,1
CDC7,8317,2,1
CDK6,1021,2,1
CDK7,1022,2,2
CDKN1C,1028,2,1
CDKN2C,1031,2,1
CDKN3,1033,2,1
CENPF,1063,2,1
CEP152,22995,2,1
CEP55,55165,2,1
CERS5,91012,2,1
CFAP298,56683,2,1
CFB,629,2,1
CHAT,1103,2,1
CHD2,1106,2,1
CHEK2,11200,2,2
CHKA,1119,2,2
CLDN10,9071,2,1
CNN1,1264,2,1
COL6A1,1291,2,2
COQ3,51805,2,1
COX7B2,170712,2,1
CP,1356,2,2
CPT1B,1375,2,2
CRYZ,1429,2,1
CRYZL1,9946,2,1
CS,1431,2,1
CSNK2A2,1459,2,1
CSTF2,1478,2,1
CTH,1491,2,2
CTNNA1,1495,2,1
CTSK,1513,2,1
CUL4B,8450,2,1
CXCL1,2919,2,1
CYCB,37618,2,1
CYP2C19,1557,2,1
CYP2J2,1573,2,2
DBF4,10926,2,1
DDIT4,54541,2,1
DEK,7913,2,1
DENR,8562,2,1
DEPDC1B,55789,2,1
DERL3,91319,2,1
DHCR7,1717,2,1
DIO1,1733,2,2
DKK1,22943,2,1
DKK2,27123,2,2
DLGAP5,9787,2,1
DMPK,1760,2,2
DMXL1,1657,2,1
DPP4,1803,2,1
DTWD1,56986,2,1
DUOX2,50506,2,1
DUSP1,1843,2,2
E2F1,1869,2,1
E2F2,1870,2,1
E2F5,1875,2,1
EGR2,1959,2,1
EHHADH,1962,2,2
EI24,9538,2,1
EIF2S1,1965,2,1
EIF4E,1977,2,1
EIF4EBP1,1978,2,2
ELAVL3,1995,2,0
EMP1,2012,2,1
EMP3,2014,2,1
ENO1,2023,2,1
ENPP3,5169,2,1
EPHA2,1969,2,1
ERCC1,2067,2,1
EVA1A,84141,2,1
EXOC4,60412,2,1
F2RL1,2150,2,1
FAIM,55179,2,1
FAM50A,9130,2,1
FAM53C,51307,2,1
FARP1,10160,2,1
FBXO32,114907,2,1
FDPS,2224,2,1
FDX1,2230,2,1
FGF18,8817,2,1
FNBP1L,54874,2,1
FOXO3,2309,2,1
FRS2,10818,2,1
GAB1,2549,2,1
GABPA,2551,2,1
GBF1,8729,2,1
GJA1,2697,2,2
GLDC,2731,2,2
GLIPR1,11010,2,1
GLS,2744,2,1
GLUL,2752,2,1
GOT1,2805,2,2
GPAM,57678,2,2
GPAT3,84803,2,1
GPI,2821,2,1
GPR137B,7107,2,2
GPR83,10888,2,1
GPX5,2880,2,1
GRB14,2888,2,1
GRB2,2885,2,1
GSDMD,79792,2,1
GSTA4,2941,2,2
GSTK1,373156,2,2
GSTM5,2949,2,2
GSTT1,2952,2,2
GSTT3,103140,2,1
GSTZ1,2954,2,1
GYS1,2997,2,1
