## Torsion are defined with the following atomIDs:
# dihed1: ai= 4079 aj= 2050 ak= 2061 al= 2065
# dihed2: ai= 2062 aj= 2063 ak= 2052 al= 4080
# dihed3: ai= 2048 aj= 2057 ak= 2058 al= 2064
# dihed4: ai= 2060 aj= 2059 ak= 2049 al= 4078
# dihed5: ai= 2069 aj= 2067 ak= 2053 al= 4081
# dihed6: ai= 2067 aj= 2069 ak= 2054 al= 4082
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
211 -177.620   -4.102   49.814    0.980   40.957  153.940
212 -160.271  -12.996   61.835   -2.341   18.636  157.789
213  172.332  -28.434   63.289    8.641   15.990  170.182
214 -158.340  -30.834   50.583   -6.575   15.968 -166.521
215 -165.584  -14.586   54.473   17.967  -12.048 -171.528
216  178.113  -14.315   48.491   12.108  -51.518 -179.434
217 -176.312  -15.396   49.302    9.521  -17.981 -174.337
218 -178.389  -47.579   53.067    0.536   23.539 -175.659
219  173.807   -9.608   51.698   10.350  -12.724  156.977
220  172.140  -13.335   64.372   37.206    9.563 -177.124
221 -173.470  -11.781   36.534   14.920    6.615 -165.517
222 -152.023  -50.282   54.776    4.925    1.747  176.037
223 -170.619  -23.784   34.207   21.454    8.625  176.302
224  174.788  -24.708   42.469   35.559    0.436  175.437
225 -170.075  -16.523   50.373    7.885   41.960  152.635
226  177.159  -10.949   48.697   19.389    0.679 -170.833
227 -169.270  -24.389   49.724    5.751  -14.065  175.440
228  179.943  -29.971   44.259    6.318  -17.721  160.442
229 -178.945  -15.642   50.412    8.201   -0.983 -171.714
230 -163.142  -23.073   54.808   24.050   -2.258 -171.734
231 -160.589  -27.404   64.944   -7.577    0.362  168.523
232  178.546  -22.832   41.208   -1.585   42.455  160.330
233 -159.570  -25.914   48.740  -18.505  -14.004  158.308
234 -163.625  -29.682   48.731    8.400  -25.495  167.823
235 -171.672  -20.317   18.487   -8.583   -9.226 -177.491
236 -162.325  -31.033   49.340    3.788    6.496 -170.731
237  172.083  -46.402   54.050   -9.698   -8.931  155.189
238  166.404  -22.373   34.927    7.002   -0.415  148.868
239 -174.122  -24.583   37.163    9.215   -9.004 -169.142
240  176.466  -14.938   41.956   -9.213   24.193  178.860
241  172.614   -6.860   60.692   -6.794   -7.906 -178.209
242  171.085  -52.231   71.880   29.121    9.214  170.883
243  172.005  -44.268   62.343   11.571   25.208  162.353
244 -173.365  -15.791   44.011   -3.002   -6.329  165.607
245 -174.545   -5.228   43.848   30.198    4.886 -173.948
246 -179.703  -27.349   41.955   -1.066   26.955  179.967
247 -177.606  -25.226   28.402    3.836 -128.682 -175.843
248 -174.221   -3.445   41.000   16.920   38.376 -165.362
249  174.361  -11.063   49.960   -6.134   21.915 -178.669
250 -175.424  -35.556   42.545   18.339   12.585 -164.978
251  177.074  -15.328   65.135  -19.714    0.316  170.730
252 -169.838  -31.067   69.737    5.544   18.952 -175.301
253 -174.149   -6.916   54.396   -6.033   14.519 -169.572
254 -154.877  -14.077   41.937   13.848    0.560  176.743
255 -176.803  -26.186   51.914    9.662   11.305 -173.211
256  168.187    1.076   39.761    6.490  -32.861  172.665
257 -148.156  -21.028   55.988   39.782  -13.345  169.657
258 -164.685  -20.708   41.843   15.150  -40.521  177.844
259  175.717  -19.159   48.887  -13.927   17.807 -173.440
260 -176.007  -65.490   59.569    8.761  -11.990  165.615
261 -162.768  -12.124   47.245    2.398  -33.797  161.885
262 -168.836   -7.595   63.439    3.901   -4.217 -170.821
263  145.051  -17.787   64.900   15.953   17.436  132.313
264 -164.278  -30.515   51.128   14.135    2.765  159.294
265  171.159  -42.885   56.040    2.388  -25.762 -166.534
266 -172.617  -25.254   62.266   15.732   33.034  158.164
267 -171.189  -22.300   56.353   15.501   18.151  160.000
268  162.995  -25.375   38.036   -8.805   19.666  173.634
269 -156.039  -20.502   62.112   14.956  -23.994 -169.140
270 -178.695  -28.922   37.872   23.920  -15.756 -165.987
271 -179.359  -19.053   56.692   11.109  -27.305  176.748
272  177.564  -20.206   47.343  -15.314   12.410 -174.382
273 -169.595  -37.657   48.632   20.168    7.162  165.568
274 -179.324  -36.222   60.398  -20.836   34.615  161.506
275 -178.880  -24.554   50.780   12.979   -5.279 -179.970
