  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      178        0.165        3.684            1      252.253       72.043      276.275
      179        0.163        3.738            1      253.936       69.351      275.208
      180        0.245        3.719            1      254.007       78.782      276.323
      181        0.240        3.749            1      253.882       77.276      279.620
      182        0.195        3.710            1      253.023       73.590      274.058
      183        0.144        3.743            1      253.932       69.680      278.664
      184        0.151        3.711            1      252.294       66.820      271.134
      185        0.165        3.732            1      252.974       67.795      275.901
      186        0.297        3.698            1      251.791       80.638      278.486
      187        0.174        3.731            1      253.379       79.167      275.968
      188        0.146        3.716            1      253.906       77.439      279.008
      189        0.131        3.744            1      255.038       72.520      277.862
      190        0.190        3.715            1      253.208       71.918      277.385
      191        0.222        3.735            1      253.192       63.975      275.083
      192        0.235        3.759            1      254.699       81.868      275.657
      193        0.185        3.732            1      253.026       73.305      273.604
      194        0.181        3.710            1      252.607       68.518      274.174
      195        0.218        3.724            1      253.167       73.226      276.312
      196        0.185        3.697            1      252.464       60.719      276.290
      197        0.263        3.736            1      252.997       71.863      275.832
      198        0.194        3.676            1      254.106       74.298      278.237
      199        0.201        3.724            1      252.687       58.281      273.845
      200        0.152        3.725            1      254.929       53.636      276.022
      201        0.196        3.736            1      255.093       48.316      277.533
      202        0.164        3.741            1      253.670       58.029      278.235
      203        0.273        3.703            1      252.688       61.413      276.654
      204        0.189        3.739            1      253.858       87.333      275.902
      205        0.290        3.730            1      253.277       91.956      274.707
      206        0.157        3.705            1      252.461       81.451      278.306
      207        0.192        3.714            1      253.190       63.384      274.604
      208        0.224        3.722            1      253.352       88.558      273.711
      209        0.180        3.734            1      252.327       90.089      276.961
      210        0.328        3.722            1      252.730       77.126      276.408
      211        0.189        3.776            1      255.014       58.374      274.005
      212        0.150        3.727            1      253.943       67.208      276.724
      213        0.312        3.752            1      254.670       98.240      280.342
      214        0.285        3.753            1      254.233       78.201      276.176
      215        0.240        3.754            1      253.540       75.688      276.291
      216        0.213        3.711            1      252.295       69.415      275.794
      217        0.195        3.735            1      253.120       65.461      278.977
      218        0.237        3.738            1      253.741       64.316      278.952
      219        0.140        3.714            1      253.784       63.527      274.701
      220        0.177        3.696            1      253.272       78.881      280.173
      221        0.242        3.749            1      252.839       80.450      273.073
      222        0.198        3.724            1      253.782       73.886      278.374
      223        0.167        3.737            1      253.684       71.545      277.308
      224        0.225        3.718            1      254.815       78.686      273.960
      225        0.195        3.753            1      254.504       66.463      276.845
      226        0.170        3.762            1      255.418       65.334      279.662
      227        0.160        3.702            1      252.883       66.707      274.241
      228        0.223        3.708            1      252.521       65.830      273.191
      229        0.315        3.729            1      253.498       95.097      275.823
      230        0.143        3.729            1      254.763       92.515      278.658
      231        0.249        3.711            1      251.287       97.818      272.120
      232        0.199        3.744            1      253.012      105.137      277.815
      233        0.161        3.698            1      252.647       89.799      277.250
      234        0.159        3.735            1      253.932       84.179      276.803
      235        0.408        3.747            1      253.504       66.401      276.864
      236        0.299        3.781            1      255.068       81.587      275.457
      237        0.175        3.712            1      252.182       74.460      277.780
      238        0.168        3.710            1      253.508       81.567      278.093
      239        0.295        3.688            1      250.890       89.625      275.730
      240        0.178        3.711            1      252.782       88.900      275.865
